Timestamp,Python CPU Percentage,Uvicorn CPU Percentage,Python Memory Percentage,Uvicorn Memory Percentage
17:17:11,"(3.9, 0)","(10.13776036789231, 0)"
17:17:12,"(3.9, 0)","(10.13776036789231, 0)"
17:17:13,"(4.0, 0)","(10.13776036789231, 0)"
17:17:14,"(5.0, 0)","(10.13776036789231, 0)"
17:17:15,"(4.0, 0)","(10.13776036789231, 0)"
17:17:16,"(3.0, 0)","(10.13776036789231, 0)"
17:17:17,"(4.9, 0)","(10.13776036789231, 0)"
17:17:18,"(4.9, 0)","(10.13776036789231, 0)"
17:17:19,"(3.0, 0)","(10.13776036789231, 0)"
17:17:20,"(4.9, 0)","(10.13776036789231, 0)"
17:17:21,"(3.9, 0)","(10.13776036789231, 0)"
17:17:22,"(3.0, 0)","(10.13776036789231, 0)"
17:17:23,"(4.9, 0)","(10.13776036789231, 0)"
17:17:24,"(3.0, 0)","(10.13776036789231, 0)"
17:17:25,"(3.9, 0)","(10.13776036789231, 0)"
17:17:26,"(4.9, 0)","(10.13776036789231, 0)"
17:17:27,"(4.0, 0)","(10.13776036789231, 0)"
17:17:28,"(4.0, 0)","(10.13776036789231, 0)"
17:17:29,"(4.0, 0)","(10.13776036789231, 0)"
17:17:30,"(4.9, 0)","(10.13776036789231, 0)"
17:17:31,"(3.9, 0)","(10.13776036789231, 0)"
17:17:32,"(3.0, 0)","(10.13776036789231, 0)"
17:17:33,"(4.9, 0)","(10.13776036789231, 0)"
17:17:34,"(4.0, 0)","(10.13776036789231, 0)"
17:17:35,"(4.0, 0)","(10.13776036789231, 0)"
17:17:36,"(4.0, 0)","(10.13776036789231, 0)"
17:17:37,"(3.0, 0)","(10.13776036789231, 0)"
17:17:38,"(4.9, 0)","(10.13776036789231, 0)"
17:17:39,"(4.0, 0)","(10.13776036789231, 0)"
17:17:40,"(4.0, 0)","(10.13776036789231, 0)"
17:17:41,"(5.0, 0)","(10.13776036789231, 0)"
17:17:42,"(4.9, 0)","(10.13776036789231, 0)"
17:17:43,"(3.0, 0)","(10.13776036789231, 0)"
17:17:44,"(4.0, 0)","(10.13776036789231, 0)"
17:17:45,"(4.0, 0)","(10.13776036789231, 0)"
17:17:46,"(4.9, 0)","(10.13776036789231, 0)"
17:17:47,"(3.0, 0)","(10.13776036789231, 0)"
17:17:48,"(4.9, 0)","(10.13776036789231, 0)"
17:17:49,"(3.0, 0)","(10.13776036789231, 0)"
17:17:50,"(5.9, 0)","(10.13776036789231, 0)"
17:17:51,"(4.0, 0)","(10.13776036789231, 0)"
17:17:52,"(3.0, 0)","(10.13776036789231, 0)"
17:17:54,"(4.0, 0)","(10.13776036789231, 0)"
17:17:55,"(4.9, 0)","(10.13776036789231, 0)"
17:17:56,"(3.0, 0)","(10.13776036789231, 0)"
17:17:57,"(4.0, 0)","(10.13776036789231, 0)"
17:17:58,"(3.0, 0)","(10.13776036789231, 0)"
17:17:59,"(5.8, 0)","(10.13776036789231, 0)"
17:18:00,"(4.0, 0)","(10.13776036789231, 0)"
17:18:01,"(4.0, 0)","(10.13776036789231, 0)"
17:18:02,"(4.0, 0)","(10.13776036789231, 0)"
17:18:03,"(3.0, 0)","(10.13776036789231, 0)"
17:18:04,"(4.0, 0)","(10.13776036789231, 0)"
17:18:05,"(4.0, 0)","(10.13776036789231, 0)"
17:18:06,"(4.0, 0)","(10.13776036789231, 0)"
17:18:07,"(4.0, 0)","(10.13776036789231, 0)"
17:18:08,"(4.9, 0)","(10.13776036789231, 0)"
17:18:09,"(3.0, 0)","(10.13776036789231, 0)"
17:18:10,"(3.9, 0)","(10.13776036789231, 0)"
17:18:11,"(4.0, 0)","(10.13776036789231, 0)"
17:18:12,"(4.0, 0)","(10.13776036789231, 0)"
17:18:13,"(3.0, 0)","(10.13776036789231, 0)"
17:18:14,"(6.8, 0)","(10.13776036789231, 0)"
17:18:15,"(3.0, 0)","(10.13776036789231, 0)"
17:18:16,"(3.0, 0)","(10.13776036789231, 0)"
17:18:17,"(4.9, 0)","(10.13776036789231, 0)"
17:18:18,"(4.9, 0)","(10.13776036789231, 0)"
17:18:19,"(3.0, 0)","(10.13776036789231, 0)"
17:18:20,"(4.9, 0)","(10.13776036789231, 0)"
17:18:21,"(4.0, 0)","(10.13776036789231, 0)"
17:18:22,"(4.9, 0)","(10.13776036789231, 0)"
17:18:23,"(2.0, 0)","(10.13776036789231, 0)"
17:18:24,"(4.0, 0)","(10.13776036789231, 0)"
17:18:25,"(5.8, 0)","(10.13776036789231, 0)"
17:18:26,"(3.0, 0)","(10.13776036789231, 0)"
17:18:27,"(4.0, 0)","(10.13776036789231, 0)"
17:18:28,"(5.8, 0)","(10.13776036789231, 0)"
17:18:29,"(4.0, 0)","(10.13776036789231, 0)"
17:18:30,"(3.9, 0)","(10.13776036789231, 0)"
17:18:31,"(4.0, 0)","(10.13776036789231, 0)"
17:18:32,"(4.0, 0)","(10.13776036789231, 0)"
17:18:33,"(4.0, 0)","(10.13776036789231, 0)"
17:18:34,"(4.0, 0)","(10.13776036789231, 0)"
17:18:35,"(3.9, 0)","(10.13776036789231, 0)"
17:18:36,"(2.0, 0)","(10.13776036789231, 0)"
17:18:37,"(5.8, 0)","(10.13776036789231, 0)"
17:18:39,"(5.0, 0)","(10.13776036789231, 0)"
17:18:40,"(4.0, 0)","(10.13776036789231, 0)"
17:18:41,"(3.0, 0)","(10.13776036789231, 0)"
17:18:42,"(4.9, 0)","(10.13776036789231, 0)"
17:18:43,"(4.0, 0)","(10.13776036789231, 0)"
17:18:44,"(4.0, 0)","(10.13776036789231, 0)"
17:18:45,"(4.0, 0)","(10.13776036789231, 0)"
17:18:46,"(4.9, 0)","(10.13776036789231, 0)"
17:18:47,"(3.0, 0)","(10.13776036789231, 0)"
17:18:48,"(3.9, 0)","(10.13776036789231, 0)"
17:18:49,"(4.0, 0)","(10.13776036789231, 0)"
17:18:50,"(4.9, 0)","(10.13776036789231, 0)"
17:18:51,"(3.0, 0)","(10.13776036789231, 0)"
17:18:52,"(3.9, 0)","(10.13776036789231, 0)"
17:18:53,"(5.9, 0)","(10.13776036789231, 0)"
17:18:54,"(4.0, 0)","(10.13776036789231, 0)"
17:18:55,"(3.0, 0)","(10.13776036789231, 0)"
17:18:56,"(4.0, 0)","(10.13776036789231, 0)"
17:18:57,"(4.0, 0)","(10.13776036789231, 0)"
17:18:58,"(3.9, 0)","(10.13776036789231, 0)"
17:18:59,"(3.9, 0)","(10.13776036789231, 0)"
17:19:00,"(3.9, 0)","(10.13776036789231, 0)"
17:19:01,"(4.0, 0)","(10.13776036789231, 0)"
17:19:02,"(5.8, 0)","(10.13776036789231, 0)"
17:19:03,"(4.0, 0)","(10.13776036789231, 0)"
17:19:04,"(4.0, 0)","(10.13776036789231, 0)"
17:19:05,"(3.0, 0)","(10.13776036789231, 0)"
17:19:06,"(4.9, 0)","(10.13776036789231, 0)"
17:19:07,"(5.0, 0)","(10.13776036789231, 0)"
17:19:08,"(4.0, 0)","(10.13776036789231, 0)"
17:19:09,"(4.9, 0)","(10.13776036789231, 0)"
17:19:10,"(3.0, 0)","(10.13776036789231, 0)"
17:19:11,"(5.8, 0)","(10.13776036789231, 0)"
17:19:12,"(3.0, 0)","(10.13776036789231, 0)"
17:19:13,"(4.0, 0)","(10.13776036789231, 0)"
17:19:14,"(5.8, 0)","(10.13776036789231, 0)"
17:19:15,"(2.0, 0)","(10.13776036789231, 0)"
17:19:16,"(3.0, 0)","(10.13776036789231, 0)"
17:19:17,"(4.9, 0)","(10.13776036789231, 0)"
17:19:18,"(4.0, 0)","(10.13776036789231, 0)"
17:19:19,"(14.700000000000001, 0)","(10.13776036789231, 0)"
17:19:20,"(27.4, 0)","(10.13776036789231, 0)"
17:19:21,"(4.0, 0)","(10.13776036789231, 0)"
17:19:22,"(4.0, 0)","(10.13776036789231, 0)"
17:19:24,"(42.1, 0)","(10.13776036789231, 0)"
17:19:25,"(21.5, 0)","(10.13776036789231, 0)"
17:19:26,"(4.0, 0)","(10.13776036789231, 0)"
17:19:27,"(3.9, 0)","(10.13776036789231, 0)"
17:19:28,"(3.0, 0)","(10.13776036789231, 0)"
17:19:29,"(4.0, 0)","(10.13776036789231, 0)"
17:19:30,"(3.9, 0)","(10.13776036789231, 0)"
17:19:31,"(4.0, 0)","(10.13776036789231, 0)"
17:19:32,"(4.9, 0)","(10.13776036789231, 0)"
17:19:33,"(3.9, 0)","(10.13776036789231, 0)"
17:19:34,"(4.0, 0)","(10.13776036789231, 0)"
17:19:35,"(4.9, 0)","(10.13776036789231, 0)"
17:19:36,"(3.9, 0)","(10.13776036789231, 0)"
17:19:37,"(4.0, 0)","(10.13776036789231, 0)"
17:19:38,"(4.8, 0)","(10.13776036789231, 0)"
17:19:39,"(2.0, 0)","(10.13776036789231, 0)"
17:19:40,"(3.9, 0)","(10.13776036789231, 0)"
17:19:41,"(4.9, 0)","(10.13776036789231, 0)"
17:19:42,"(4.9, 0)","(10.13776036789231, 0)"
17:19:43,"(3.0, 0)","(10.13776036789231, 0)"
17:19:44,"(3.9, 0)","(10.13776036789231, 0)"
17:19:45,"(3.9, 0)","(10.13776036789231, 0)"
17:19:46,"(5.8, 0)","(10.13776036789231, 0)"
17:19:47,"(3.0, 0)","(10.13776036789231, 0)"
17:19:48,"(3.0, 0)","(10.13776036789231, 0)"
17:19:49,"(4.0, 0)","(10.13776036789231, 0)"
17:19:50,"(5.9, 0)","(10.13776036789231, 0)"
17:19:51,"(4.9, 0)","(10.13776036789231, 0)"
17:19:52,"(4.0, 0)","(10.13776036789231, 0)"
17:19:53,"(3.0, 0)","(10.13776036789231, 0)"
17:19:54,"(10.8, 0)","(10.13776036789231, 0)"
17:19:55,"(4.9, 0)","(10.13776036789231, 0)"
17:19:56,"(4.0, 0)","(10.13776036789231, 0)"
17:19:57,"(3.0, 0)","(10.13776036789231, 0)"
17:19:58,"(4.9, 0)","(10.13776036789231, 0)"
17:19:59,"(4.0, 0)","(10.13776036789231, 0)"
17:20:00,"(5.9, 0)","(10.13776036789231, 0)"
17:20:01,"(8.8, 0)","(10.13776036789231, 0)"
17:20:02,"(5.8, 0)","(10.13776036789231, 0)"
17:20:03,"(3.0, 0)","(10.13776036789231, 0)"
17:20:04,"(4.9, 0)","(10.13776036789231, 0)"
17:20:05,"(4.9, 0)","(10.13776036789231, 0)"
17:20:06,"(3.8, 0)","(10.13776036789231, 0)"
17:20:08,"(6.8, 0)","(10.13776036789231, 0)"
17:20:09,"(7.9, 0)","(10.13776036789231, 0)"
17:20:10,"(4.0, 0)","(10.13776036789231, 0)"
17:20:11,"(5.9, 0)","(10.13776036789231, 0)"
17:20:12,"(3.9, 0)","(10.13776036789231, 0)"
17:20:13,"(4.0, 0)","(10.13776036789231, 0)"
17:20:14,"(4.0, 0)","(10.13776036789231, 0)"
17:20:15,"(4.0, 0)","(10.13776036789231, 0)"
17:20:16,"(4.0, 0)","(10.13776036789231, 0)"
17:20:17,"(4.9, 0)","(10.13776036789231, 0)"
17:20:18,"(4.0, 0)","(10.13776036789231, 0)"
17:20:19,"(9.8, 0)","(10.144335566244127, 0)"
